상품별 수익률 수수료율(납입원금 대비),,,,,,,,,,,,,,,,,,,,,,,,,,
[조회조건],,,,,,,,,,,,,,,,,,,,,,,,,,
권역: ,자산운용[펀드],금융회사: ,,판매여부: ,전체,원금보장: ,전체,수수료구조: ,전체,중도인출: ,전체,연금수령기간: ,전체,작성기준일: ,'25년 3분기,과거비교: ,2024,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
총 2003건,"(단위: 백만원 , %)",,,,,,,,,,,,,,,,,,,,,,,,,
상품명,금융회사,상품유형,최초판매일,판매여부,중도해지,'25년 3분기,,,,'24년,,,,장기 수익률(연평균),,,,장기 수수료율(연평균),,,,,,,,
,,,,,,납입원금,적립금,수익률,수정기준가 수익률,납입원금,적립금,수익률,수정기준가 수익률,3년,5년,7년,10년,3년,5년,7년,10년,,,,,
미래에셋전략배분TDF2030혼합자산자투자신탁 종류C-P,미래에셋자산운용,혼합자산,2017/03/21,판매,가능,"58,834","95,569",10.77,10.68,"62,995","95,097",12.42,12.49,0.78,7.57,9.60,,1.19,1.17,1.12,,,,,,
피델리티글로벌배당인컴증권자투자신탁(주식-재간접형)종류PRS-e,피델리티자산운용,재간접,2014/05/12,판매,가능,"66,395","94,356",8.82,6.43,"58,535","78,891",17.66,14.28,6.61,7.50,8.12,9.57,0.57,0.55,0.54,0.52,,,,,
하나클래스원신종MMF(S-36)ClassC-P,하나자산운용,단기금융,2013/10/18,판매,가능,"78,212","90,137",2.94,2.63,"79,906","90,195",3.41,3.15,2.87,1.93,1.78,1.59,0.43,0.43,0.42,0.41,,,,,
미래에셋전략배분TDF솔루션혼합자산자투자신탁종류C-P,미래에셋자산운용,혼합자산,2018/07/02,판매,가능,"68,884","89,745",6.86,8.40,"75,018","91,978",6.78,9.32,-1.17,3.14,4.26,,1.00,1.00,0.87,,,,,,
신영연금60 증권 전환형 투자신탁(주식혼합),신영자산운용,혼합주식형,2001/02/14,판매,가능,"49,408","88,548",26.34,18.32,"55,447","77,413",-4.24,-2.37,-6.28,0.31,-1.39,0.50,1.58,1.64,1.61,1.58,,,,,
한국밸류10년투자증권투자신탁 1(채권혼합)(C-P),한국투자밸류자산운용,혼합채권형,2013/04/02,판매,가능,"52,255","83,464",12.62,8.75,"56,151","80,554",4.77,4.08,3.19,5.41,4.11,3.37,1.61,1.54,1.46,1.40,,,,,
미래에셋전략배분TDF2025혼합자산자투자신탁종류C-Pe,미래에셋자산운용,혼합자산,2017/03/21,판매,가능,"56,425","81,684",10.22,9.67,"59,854","81,064",11.25,10.60,1.75,8.54,10.02,,0.74,0.74,0.71,,,,,,
VIP한국형가치투자증권자투자신탁[주식]C-Pe클래스,브이아이피자산운용,주식형,2023/04/03,판매,가능,"49,214","81,650",75.46,36.41,"21,180","25,426",14.64,5.02,,,,,,,,,,,,,
피델리티글로벌테크놀로지증권자투자신탁(주식-재간접형)종류S-PRS,피델리티자산운용,재간접,2015/06/26,판매,가능,"32,980","79,653",36.76,19.60,"30,743","65,970",31.44,19.53,8.26,17.95,16.40,,0.53,0.51,0.47,,,,,,
미래에셋전략배분TDF2030혼합자산자투자신탁 종류C-Pe,미래에셋자산운용,혼합자산,2017/03/21,판매,가능,"47,906","77,836",22.68,10.95,"43,124","65,184",21.33,12.87,7.00,17.85,17.35,,0.85,0.84,0.80,,,,,,
미래에셋전략배분TDF2035혼합자산자투자신탁 종류C-Pe,미래에셋자산운용,혼합자산,2017/03/21,판매,가능,"42,588","77,703",30.03,12.72,"38,976","65,576",29.20,15.71,9.78,22.48,20.80,,0.97,0.95,0.91,,,,,,
KCGI코리아증권투자신탁 1[주식]종류C-P,케이씨지아이자산운용,주식형,2014/10/08,판매,가능,"42,806","77,030",59.26,53.58,"44,861","51,817",10.01,11.25,-2.95,5.05,2.31,1.74,1.41,1.38,1.29,1.25,,,,,
미래에셋전략배분TDF2045혼합자산자투자신탁 종류C-P,미래에셋자산운용,혼합자산,2017/03/21,판매,가능,"38,220","76,242",19.30,14.97,"40,303","72,660",21.15,17.07,1.64,11.86,13.12,,1.78,1.75,1.65,,,,,,
AB미국그로스증권투자신탁(주식-재간접형)종류형Sp,얼라이언스번스틴자산운용,재간접,2014/05/14,판매,가능,"27,529","72,161",26.95,14.24,"30,413","69,141",37.24,23.67,-7.41,7.63,9.38,12.23,0.57,0.56,0.54,0.49,,,,,
다올중국1등주증권자투자신탁[주식]종류C-P,다올자산운용,주식형,2014/01/06,판매,가능,"24,033","71,284",97.37,62.39,"32,189","50,622",20.98,19.04,-39.42,-21.92,-17.04,-9.39,2.48,2.70,2.53,2.29,,,,,
미래에셋전략배분TDF2035혼합자산자투자신탁 종류C-P,미래에셋자산운용,혼합자산,2017/03/21,판매,가능,"38,893","71,006",16.01,12.45,"40,331","67,809",18.99,15.29,2.11,10.54,11.95,,1.34,1.33,1.27,,,,,,
한국투자크레딧포커스ESG증권자투자신탁 1(채권)(C-Pe),한국투자신탁운용,채권형,2018/12/06,판매,가능,"65,128","69,342",4.83,4.83,"36,899","39,365",6.07,6.30,4.23,3.46,,,0.30,0.30,,,,,,,
KB연금중국본토A주증권자투자신탁(주식)C 클래스,케이비자산운용,주식형,2014/10/14,판매,가능,"41,007","67,780",24.58,19.06,"48,290","64,861",4.79,5.65,-31.09,-11.50,-10.01,-5.64,2.51,2.66,2.43,2.24,,,,,
미래에셋라이프사이클3040연금증권전환형자투자신탁 1(주식혼합)종류C,미래에셋자산운용,혼합주식형,2005/10/26,판매,가능,"55,391","67,634",22.33,23.30,"58,686","56,180",-0.63,-0.45,-2.61,2.14,1.00,0.26,1.29,1.34,1.33,0.07,,,,,
NH-Amundi개인신종MMF 1C-P1e(연금저축),엔에이치아문디자산운용,단기금융,2019/06/07,판매,가능,"60,030","65,917",2.85,2.80,"64,816","69,362",3.45,3.46,3.20,2.09,,,0.29,0.29,,,,,,,
미래에셋ETF로자산배분TDF2025증권자투자신탁(채권혼합-재간접형)종류C-P,미래에셋자산운용,재간접,2017/03/10,판매,가능,"47,881","65,808",4.20,7.20,"54,384","68,863",4.34,7.64,-2.40,2.07,3.28,,0.88,0.89,0.86,,,,,,
에셋플러스코리아리치투게더연금증권자투자신탁 1[주식] 종류C,에셋플러스자산운용,주식형,2013/05/21,판매,가능,"30,430","64,721",73.94,62.55,"33,605","39,421",-21.61,-13.49,-27.97,-8.25,-8.84,-5.72,1.96,1.92,1.77,1.66,,,,,
우리하이플러스채권증권자투자신탁 1(채권)ClassC-P1,우리자산운용,채권형,2014/11/10,판매,가능,"50,802","64,377",4.34,3.75,"53,821","65,645",5.44,4.93,4.10,2.95,2.89,2.75,0.54,0.53,0.51,0.49,,,,,
한국투자연금베트남증권자투자신탁(주식혼합)(C),한국투자신탁운용,혼합주식형,2014/12/12,판매,가능,"12,428","63,421",36.75,19.92,"17,683","65,045",78.86,33.83,-11.69,3.52,-3.74,3.92,3.63,3.03,2.66,2.30,,,,,
DBNEW해오름신종MMF 3ClassC-P,디비자산운용,단기금융,2013/04/02,판매,가능,"47,846","61,535",3.41,2.77,"57,977","70,381",3.89,3.36,3.34,2.35,2.17,1.95,0.29,0.29,0.29,0.28,,,,,
