상품별 수익률 수수료율(납입원금 대비),,,,,,,,,,,,,,,,,,,,,,,,,,
[조회조건],,,,,,,,,,,,,,,,,,,,,,,,,,
권역: ,자산운용[펀드],금융회사: ,,판매여부: ,전체,원금보장: ,전체,수수료구조: ,전체,중도인출: ,전체,연금수령기간: ,전체,작성기준일: ,'25년 3분기,과거비교: ,2024,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
총 2003건,"(단위: 백만원 , %)",,,,,,,,,,,,,,,,,,,,,,,,,
상품명,금융회사,상품유형,최초판매일,판매여부,중도해지,'25년 3분기,,,,'24년,,,,장기 수익률(연평균),,,,장기 수수료율(연평균),,,,,,,,
,,,,,,납입원금,적립금,수익률,수정기준가 수익률,납입원금,적립금,수익률,수정기준가 수익률,3년,5년,7년,10년,3년,5년,7년,10년,,,,,
신한유로인덱스증권자투자신탁(H)[주식-파생형](종류C-p),신한자산운용,파생상품,2013/10/17,판매,가능,807,"2,155",20.62,10.50,980,"2,031",14.73,10.36,7.11,6.59,5.92,5.44,1.58,1.47,1.38,1.31,,,,,
삼성베트남증권자투자신탁UH[주식]S-P,삼성자산운용,주식형,2018/03/07,판매,가능,"1,150","2,144",30.30,24.56,"1,318","2,018",30.78,28.85,1.29,11.33,,,1.51,1.44,,,,,,,
한화LIFEPLUSTDF2040증권자투자신탁(혼합-재간접형)종류C-P(연금저축),한화자산운용,재간접,2018/04/16,판매,가능,"1,435","2,137",19.42,15.12,"1,365","1,858",17.49,16.08,1.88,5.83,,,1.53,1.51,,,,,,,
하나중국1등주플러스증권자투자신탁[주식]ClassC-P,하나자산운용,주식형,2017/12/12,판매,가능,"1,857","2,135",31.39,40.47,"1,982","1,610",5.47,9.43,-21.18,-7.56,-7.79,,1.54,1.74,1.64,,,,,,
한국투자골드플랜연금증권전환형투자신탁 1(주식)(C-e),한국투자신탁운용,주식형,2017/09/11,판매,가능,"1,511","2,133",36.33,35.08,958,"1,049",-7.94,-6.53,-5.92,2.45,-0.45,,0.77,0.78,0.74,,,,,,
삼성한국형TDF2045증권투자신탁H[주식혼합-재간접형]_S-P,삼성자산운용,재간접,2016/05/20,판매,가능,"1,394","2,132",16.31,12.30,"1,507","1,980",11.22,9.81,-1.88,3.40,3.20,,1.05,0.94,0.85,,,,,,
미래에셋연금아시아퍼시픽소비성장증권자투자신탁 1(주식)종류C-P,미래에셋자산운용,주식형,2015/09/22,판매,가능,"1,863","2,130",10.29,10.70,"1,916","2,006",18.07,20.38,0.84,5.22,6.14,6.14,1.55,1.67,1.69,1.54,,,,,
한국밸류글로벌배당인컴증권자투자신탁(주식)(S-P),한국투자밸류자산운용,주식형,2020/02/24,판매,가능,"1,364","2,129",23.28,17.95,"1,371","1,863",22.27,21.47,9.86,,,,1.25,,,,,,,,
브이아이스마일연금증권전환형자투자신탁1[주식혼합]C-P2,브이아이자산운용,혼합주식형,2001/02/05,판매,가능,987,"2,118",43.24,27.43,"1,140","1,745",-4.07,-1.94,-4.70,2.14,,,1.95,1.88,,,,,,,
유리트리플알파연금저축증권자투자신탁[주식혼합]_ClassC1,유리자산운용,혼합주식형,2014/03/03,판매,가능,"1,540","2,112",3.81,2.87,"1,731","2,250",3.27,2.60,1.18,0.60,1.08,1.19,1.60,1.57,1.54,1.48,,,,,
KB연금성장주증권전환형자투자신탁(주식) C-E 클래스,케이비자산운용,주식형,2016/08/31,판매,가능,"1,234","2,112",49.49,43.93,"1,126","1,279",-10.57,-6.68,-9.39,3.25,0.55,,1.22,1.22,1.15,,,,,,
KB달러표시아시아채권증권자투자신탁(채권-재간접형)(H)C-P,케이비자산운용,재간접,2019/06/26,판매,가능,"2,235","2,112",5.26,5.91,"2,490","2,204",7.70,9.39,-3.77,-3.23,,,0.82,0.89,,,,,,,
신한해피라이프연금중국본토증권자투자신탁 1(H)[주식](종류C1),신한자산운용,주식형,2015/02/10,판매,가능,"1,616","2,109",27.05,28.77,"1,962","2,089",13.44,15.51,-17.26,-6.30,-6.51,,1.86,2.03,1.90,,,,,,
키움ESG중장기우량채증권자투자신탁 1[채권]C-Pe,키움투자자산운용,채권형,2017/10/19,판매,가능,"1,917","2,100",2.75,3.60,"1,925","2,055",5.53,5.45,2.09,1.16,1.82,,0.32,0.32,0.31,,,,,,
한화K리츠플러스부동산자투자신탁(H)(리츠-재간접형)C-Pe(연금저축),한화자산운용,부동산,2020/10/21,판매,가능,"2,073","2,099",5.91,6.40,"3,000","2,736",3.73,4.99,-4.44,,,,0.94,,,,,,,,
우리PIMCO분산투자증권자투자신탁[채권_재간접형](H)ClassP2,우리자산운용,재간접,2014/04/28,판매,가능,"2,135","2,091",3.61,3.84,"2,525","2,383",3.39,3.78,-4.35,-2.09,-0.81,0.67,1.16,1.22,1.22,1.22,,,,,
하나인Best연금China증권자투자신탁[주식],하나자산운용,주식형,2012/05/17,판매,가능,876,"2,087",43.19,25.10,"1,035","1,738",7.12,9.02,-33.91,-44.53,-34.98,-22.80,3.15,3.53,3.28,2.99,,,,,
신영마라톤40증권자투자신탁(채권혼합)C-P형,신영자산운용,혼합채권형,2015/10/23,판매,가능,"1,683","2,081",11.64,10.44,"1,835","1,993",0.55,0.81,-0.40,1.28,0.36,,1.30,1.29,1.26,,,,,,
한국투자연금글로벌브랜드파워증권자투자신탁(주식)(C-e),한국투자신탁운용,주식형,2015/12/08,판매,가능,"1,146","2,078",28.02,19.24,"1,128","1,831",29.39,22.40,4.43,8.25,6.74,,1.44,1.42,1.34,,,,,,
삼성우량주장기증권자투자신탁[주식]C-Pe,삼성자산운용,주식형,2017/10/25,판매,가능,"1,534","2,076",38.06,40.98,"1,522","1,381",-5.29,-4.57,-9.09,-1.26,-1.72,,1.14,1.17,1.15,,,,,,
IBK럭셔리라이프스타일증권자투자신탁[주식]종류C-Pe,아이비케이자산운용,주식형,2018/06/15,판매,가능,"2,105","2,076",-0.50,0.57,"2,689","2,807",6.61,7.64,-6.19,3.71,,,1.41,1.43,,,,,,,
DB차이나바이오헬스케어증권자투자신탁(H)[주식]종류C-P,디비자산운용,주식형,2019/06/11,판매,가능,"2,985","2,075",22.12,47.85,"3,239","1,503",-10.03,-15.49,-11.33,-9.55,,,1.05,1.38,,,,,,,
KB글로벌테크놀로지EMP증권자투자신탁(주식-재간접형)C-Pe,케이비자산운용,재간접,2018/05/29,판매,가능,"1,354","2,070",24.35,20.71,"1,626","2,065",20.75,20.14,-4.39,4.23,,,1.08,1.09,,,,,,,
KCGIESG동반성장증권자투자신탁[주식]종류C-Pe,케이씨지아이자산운용,주식형,2023/09/20,판매,가능,"1,551","2,063",45.51,53.86,735,734,-1.44,-0.81,,,,,,,,,,,,,
교보악사파워인덱스증권자투자신탁 1(주식)ClassC-P2,교보악사자산운용,주식형,2018/07/09,판매,가능,"1,101","2,060",55.26,40.45,"2,134","2,297",-10.81,-9.21,-11.38,0.97,,,0.91,0.99,,,,,,,
한화에너지인프라MLP특별자산자투자회사(인프라-재간접형)종류C-Pe(연금저축),한화자산운용,특별자산,2017/12/07,판매,가능,"1,472","2,059",10.58,23.00,"1,761","2,305",47.86,41.08,20.16,6.35,3.16,,1.64,1.38,1.22,,,,,,
미래에셋연금저축베스트컬렉션증권자투자신탁 1(채권혼합)종류C-P,미래에셋자산운용,혼합채권형,2015/07/30,판매,가능,"1,984","2,054",15.00,15.57,"2,033","1,959",0.40,0.23,-0.73,2.51,1.93,1.70,0.63,0.66,0.67,0.62,,,,,
iM에셋월드광업주증권자투자신탁(주식-재간접형)(H)(C-Pe),아이엠에셋자산운용,재간접,2017/09/04,판매,가능,874,"2,047",31.92,17.76,"1,386","1,851",-24.15,-12.54,-15.70,-5.57,-5.72,,1.18,1.10,1.01,,,,,,
KB올에셋AI솔루션EMP증권자투자신탁(혼합-재간접형)(UH)C-P,케이비자산운용,재간접,2020/06/09,판매,가능,"1,303","2,037",19.94,15.39,"1,402","2,041",26.31,22.87,7.23,,,,1.74,,,,,,,,
IBK평생설계연금증권전환형자투자신탁[주식혼합]종류C,아이비케이자산운용,혼합주식형,2012/07/18,판매,가능,"1,278","2,036",72.58,25.79,"1,224","1,513",-6.20,-3.61,-7.14,1.99,-0.42,1.67,1.66,1.64,1.56,1.50,,,,,
우리연금재팬증권자투자신탁(주식)ClassC,우리자산운용,주식형,2015/05/27,판매,가능,"1,233","2,034",27.33,20.55,"1,207","1,723",24.57,23.43,10.93,9.60,4.76,,2.14,1.96,1.87,,,,,,
웰컴비트(BiT)플러스공모주증권투자신탁[채권혼합] Class C-P1E,웰컴자산운용,혼합채권형,2018/08/06,판매,가능,"1,505","2,034",5.27,4.27,"1,994","2,528",4.17,4.92,2.84,4.34,,,0.79,0.75,,,,,,,
삼성픽테4차산업글로벌디지털증권자투자신탁UH[주식-재간접형]C-Pe,삼성자산운용,재간접,2017/08/01,판매,가능,931,"2,024",47.08,31.52,"1,130","1,991",48.91,39.25,6.37,8.60,7.87,,1.05,1.05,0.97,,,,,,
미래에셋성장유망중소형주연금저축증권전환형자투자신탁 1(주식)종류C,미래에셋자산운용,주식형,2013/06/03,판매,가능,"1,815","2,010",20.63,23.96,"1,913","1,541",-2.46,-3.98,-7.61,5.34,0.12,3.62,1.37,1.43,1.40,1.41,,,,,
KCGI코리아연금증권전환형자투자신탁 1[주식혼합]종류A,케이씨지아이자산운용,혼합주식형,2010/06/25,판매,가능,"1,037","2,010",28.34,29.41,"1,014","1,547",9.55,8.05,0.89,4.38,2.85,2.82,1.03,0.97,0.90,0.85,,,,,
미래에셋글로벌클린인프라증권자투자신탁2[주식]종류C-P,미래에셋자산운용,주식형,2015/06/30,판매,가능,892,"1,996",10.92,20.61,"1,069","1,920",1.20,12.65,-31.90,14.96,9.53,4.82,2.14,2.08,1.87,1.69,,,,,
우리프랭클린미국바이오헬스케어증권자투자신탁(주식-재간접형)ClassS-P,우리자산운용,재간접,2014/04/23,판매,가능,"2,003","1,995",6.39,7.18,"2,057","1,708",-0.35,0.57,-1.13,-0.86,-0.52,-3.64,0.27,0.28,0.28,0.28,,,,,
삼성ETF를담은TDF2050증권자투자신탁[혼합-재간접형]_C-Pe,삼성자산운용,재간접,2020/05/22,판매,가능,"1,692","1,992",10.75,11.66,"1,416","1,553",11.30,13.82,1.14,,,,0.57,,,,,,,,
KB연금유로인덱스증권자투자신탁(주식-파생형)C-E CLASS,케이비자산운용,파생상품,2014/02/19,판매,가능,"1,142","1,990",15.21,10.70,"1,132","1,722",11.44,9.28,5.19,5.24,4.75,5.15,1.06,1.01,0.97,0.94,,,,,
타임폴리오위드타임증권자투자신탁(사모투자재간접형)종류S-P,타임폴리오자산운용,재간접,2019/10/14,판매,가능,"1,891","1,983",16.44,18.31,"1,839","1,912",12.21,12.81,5.66,13.47,,,0.27,0.28,,,,,,,
미래에셋성장유망중소형주연금저축증권전환형자투자신탁 1(주식)종류C-e,미래에셋자산운용,주식형,2013/12/05,판매,가능,"1,776","1,979",19.84,24.54,"1,987","1,606",-2.00,-3.51,-8.61,7.85,1.59,6.07,0.95,0.99,0.97,0.98,,,,,
한국투자중소밸류증권자투자신탁(주식)(C-Pe),한국투자신탁운용,주식형,2017/05/15,판매,가능,"1,588","1,976",22.20,20.95,950,"1,112",7.43,7.94,1.73,5.31,0.99,,1.08,1.04,1.02,,,,,,
카디안차이나드래곤AShare증권자투자신탁(UH)[주식]클래스C-P2(연금저축)E,카디안자산운용,주식형,2017/09/11,판매,가능,"1,373","1,969",29.82,29.41,"1,553","1,912",14.33,15.13,-16.23,-0.17,0.16,,1.58,1.78,1.63,,,,,,
KB중국본토A주증권자투자신탁(주식)C-P클래스,케이비자산운용,주식형,2020/11/13,판매,가능,"2,794","1,963",10.91,18.86,"2,892","1,766",2.18,4.52,-13.91,,,,1.30,,,,,,,,
KCGI글로벌헬스케어증권투자신탁[주식]종류C-P,케이씨지아이자산운용,주식형,2016/01/04,판매,가능,"1,365","1,958",-4.98,-2.31,"1,472","2,159",11.60,9.19,-1.81,4.94,5.47,,2.15,2.11,1.97,,,,,,
삼성로스차일드4차산업빅데이터증권자투자신탁UH[주식-재간접형]C-Pe,삼성자산운용,재간접,2017/08/28,판매,가능,875,"1,958",37.45,22.22,"1,052","1,946",37.00,27.62,14.92,18.16,15.84,,0.99,0.95,0.90,,,,,,
삼성헤리티지MMF 1_C-Pe,삼성자산운용,단기금융,2022/07/05,판매,가능,"1,812","1,956",-0.77,2.88,"1,614","1,783",-0.35,3.56,,,,,,,,,,,,,
KB올에셋AI솔루션EMP증권자투자신탁(혼합-재간접형)(UH)C-Pe,케이비자산운용,재간접,2020/06/12,판매,가능,"1,458","1,945",18.26,15.85,"1,256","1,642",24.05,23.53,6.97,,,,1.15,,,,,,,,
삼성ETF를담은TDF2045증권자투자신탁[혼합-재간접형]_C-Pe,삼성자산운용,재간접,2020/05/22,판매,가능,"1,659","1,944",10.03,11.12,"1,487","1,618",11.00,13.14,1.19,,,,0.57,,,,,,,,
미래에셋MSCIAC월드인덱스증권자투자신탁(주식)(UH)종류C-Pe,미래에셋자산운용,주식형,2021/08/18,판매,가능,"1,206","1,940",54.03,24.23,"1,006","1,464",68.01,34.38,19.30,,,,0.74,,,,,,,,
KB온국민TDF2020증권투자신탁(채권혼합-재간접형)C-Pe,케이비자산운용,재간접,2017/08/01,판매,가능,"1,577","1,928",8.89,7.83,"1,507","1,738",9.01,9.03,0.80,2.99,2.95,,0.40,0.44,0.44,,,,,,
미래에셋글로벌EMP솔루션증권투자신탁[채권혼합-재간접형]종류C-P,미래에셋자산운용,재간접,2015/04/29,판매,가능,"1,710","1,926",7.12,8.32,"1,710","1,854",3.23,4.69,-4.06,0.14,0.68,0.75,0.78,0.79,0.77,0.72,,,,,
NH-Amundi글로벌웰스&헬스증권자투자신탁(H)[주식]ClassC-P1(연금저축),엔에이치아문디자산운용,주식형,2016/02/26,판매,가능,"1,061","1,925",-7.07,-3.41,"1,252","2,124",10.99,7.67,-4.99,2.13,1.66,,2.43,2.31,2.16,,,,,,
iM에셋월드광업주증권자투자신탁(주식-재간접형)(UH)(C-P),아이엠에셋자산운용,재간접,2017/09/14,판매,가능,417,"1,924",81.96,27.79,452,"1,431",-11.78,0.87,-3.92,5.89,4.33,,2.98,2.43,2.06,,,,,,
IBK골드마이닝증권자투자신탁 1[주식]종류S-P,아이비케이자산운용,주식형,2017/02/01,판매,가능,888,"1,922",92.23,80.78,664,856,14.57,17.19,5.06,-1.27,1.33,,1.49,1.50,1.44,,,,,,
미래에셋단기채알파증권자투자신탁(채권혼합)종류C-Pe,미래에셋자산운용,혼합채권형,2018/11/26,판매,가능,"1,725","1,917",5.01,4.46,"1,592","1,711",7.21,7.01,3.64,2.71,2.54,,0.43,0.43,0.36,,,,,,
한국투자TIF알아서평생소득증권자투자신탁(채권-재간접형)(C-Pe),한국투자신탁운용,재간접,2019/09/25,판매,가능,"1,817","1,914",3.76,3.78,"1,444","1,490",4.58,4.77,-1.32,-0.52,,,0.51,0.53,,,,,,,
한화LIFEPLUSTDF2050증권자투자신탁(혼합-재간접형)J-PE(연금저축),한화자산운용,재간접,2021/04/07,판매,가능,"1,452","1,910",19.90,18.01,"1,297","1,542",17.47,17.90,3.69,,,,0.44,,,,,,,,
한화LIFEPLUSTDF2035증권투자신탁(혼합-재간접형)종류C-PE(연금저축),한화자산운용,재간접,2018/04/13,판매,가능,"1,569","1,906",15.00,13.78,977,"1,152",14.35,14.45,2.11,5.49,,,0.66,0.66,,,,,,,
신한MAN글로벌투자등급채권증권투자신탁(H)[채권-재간접형](종류C-pe),신한자산운용,재간접,2023/05/22,판매,가능,"1,833","1,899",6.14,6.63,74,76,0.67,0.98,,,,,,,,,,,,,
우리PIMCO글로벌투자등급증권자투자신탁[채권_재간접형](UH)ClassPe2,우리자산운용,재간접,2019/07/26,판매,가능,"1,675","1,896",9.59,10.82,"1,915","2,135",16.25,17.23,7.68,7.56,,,0.64,0.65,,,,,,,
카디안글로벌리더스증권자투자신탁[주식]클래스C-P2(연금저축)E,카디안자산운용,주식형,2019/04/17,판매,가능,"1,179","1,873",30.28,24.78,975,"1,403",29.36,26.36,1.26,6.66,,,1.49,1.47,,,,,,,
미래에셋코스닥혁신성장증권자투자신탁(주식)종류C-Pe,미래에셋자산운용,주식형,2016/08/02,판매,가능,889,"1,871",12.18,26.41,"1,126","1,725",-50.82,-12.98,-69.29,-44.82,-35.32,,1.89,1.84,1.63,,,,,,
미래에셋글로벌자산배분밸런스형증권투자신탁(혼합-재간접형)(UH)종류C-Pe,미래에셋자산운용,재간접,2023/07/17,판매,가능,"1,281","1,871",46.73,23.68,888,"1,185",66.38,27.93,,,,,,,,,,,,,
삼성클래식인도중소형FOCUS연금증권자투자신탁H[주식-파생형]_C,삼성자산운용,파생상품,2015/12/11,판매,가능,367,"1,867",-115.19,-18.69,595,"2,437",33.21,19.38,19.41,21.94,9.03,,4.10,3.28,2.84,,,,,,
삼성중국본토중소형FOCUS증권자투자신탁UH[주식]C-Pe,삼성자산운용,주식형,2018/03/22,판매,가능,"1,614","1,859",46.99,73.07,856,747,15.82,23.15,-15.13,-1.68,,,1.31,1.47,,,,,,,
미래에셋브라질하이인컴채권연금저축증권자투자신탁[채권]종류C,미래에셋자산운용,채권형,2014/07/17,판매,가능,"1,739","1,859",16.70,16.38,"2,084","1,819",-10.98,-12.06,2.72,1.33,2.95,-14.03,0.93,0.90,0.89,0.85,,,,,
미래에셋미국달러우량회사채증권자투자신탁 1(H)(채권)종류C-Pe,미래에셋자산운용,채권형,2016/05/31,판매,가능,"1,862","1,847",1.40,0.31,"2,502","2,375",-1.49,-0.82,-7.79,-6.26,-3.21,,0.56,0.61,0.59,,,,,,
AB글로벌고수익증권투자신탁(채권-재간접형)종류형Sp,얼라이언스번스틴자산운용,재간접,2014/04/30,판매,가능,"1,253","1,846",7.29,5.28,"1,333","1,838",8.25,6.39,0.60,0.44,1.17,2.36,0.43,0.42,0.41,0.39,,,,,
피델리티차이나컨슈머증권자투자신탁(주식-재간접형)종류S-PRS,피델리티자산운용,재간접,2014/05/02,판매,가능,"1,931","1,843",15.42,20.34,"2,233","1,623",-4.72,-3.25,-16.67,-15.35,-13.38,-5.80,0.29,0.37,0.37,0.37,,,,,
삼성당신을위한삼성그룹밸류인덱스증권자투자신탁 1[주식](C-Pe),삼성자산운용,주식형,2017/07/25,판매,가능,"1,178","1,839",32.12,27.82,"1,297","1,380",-19.81,-14.35,-9.30,-1.60,-1.10,,1.21,1.19,1.13,,,,,,
신영마라톤아시아밸류증권투자신탁(주식)C-P형,신영자산운용,주식형,2015/06/22,판매,가능,"1,017","1,838",40.36,29.88,"1,019","1,469",26.42,23.49,3.91,4.84,3.28,,2.03,2.04,1.94,,,,,,
한화그린히어로증권자투자신탁(주식)S-P(연금저축),한화자산운용,주식형,2020/10/22,판매,가능,907,"1,833",57.21,47.94,"1,117","1,527",30.42,35.86,-2.96,,,,0.83,,,,,,,,
삼성미국그로스증권자투자신탁H[주식-재간접형]_C-Pe,삼성자산운용,재간접,2020/12/31,판매,가능,"1,347","1,832",18.66,17.56,"1,446","1,733",26.45,27.30,-8.00,,,,0.76,,,,,,,,
미래에셋글로벌그레이트컨슈머30증권자투자신탁 1(채권혼합)종류C-Pe,미래에셋자산운용,혼합채권형,2016/01/25,판매,가능,"1,464","1,830",4.65,7.13,"1,675","1,977",5.83,7.39,-4.41,3.53,6.70,,1.06,1.09,1.06,,,,,,
키움디딤더높이EMP증권투자신탁[채권혼합-재간접형]S-P,키움투자자산운용,재간접,2016/05/09,판매,가능,"1,650","1,827",7.60,7.40,"1,567","1,615",6.15,6.41,-1.66,1.85,1.29,,0.91,0.93,0.92,,,,,,
우리알리안츠유럽배당증권자투자신탁[주식_재간접형](H)ClassP2,우리자산운용,재간접,2014/09/17,판매,가능,"1,078","1,823",6.60,4.77,"1,128","1,718",10.40,7.82,6.09,1.92,2.01,2.60,0.96,0.90,0.87,0.82,,,,,
브이아이스마일연금증권전환형자투자신탁 1[채권]C-P2,브이아이자산운용,채권형,2001/02/05,판매,가능,"1,533","1,821",4.16,3.92,"1,768","2,008",6.08,5.70,1.90,1.36,,,0.98,0.99,,,,,,,
IBK공모주채움증권투자신탁 1[채권혼합]C-Pe,아이비케이자산운용,혼합채권형,2021/01/20,판매,가능,"1,588","1,813",4.36,4.37,"1,968","2,120",1.20,1.61,,,,,,,,,,,,,
미래에셋친디아컨슈머증권투자신탁 1(주식)종류C-P,미래에셋자산운용,주식형,2019/10/08,판매,가능,"1,393","1,808",4.80,7.02,"1,452","1,607",6.90,10.45,-7.14,6.49,,,2.05,2.16,,,,,,,
한국투자TDF알아서2050증권자투자신탁H(주식혼합-재간접형)(C-Pe),한국투자신탁운용,재간접,2019/10/15,판매,가능,"1,550","1,807",9.88,9.34,"1,061","1,174",11.16,11.40,0.43,1.62,,,0.77,0.78,,,,,,,
한국투자미국장기국채증권자투자신탁UH(채권-재간접형)(C-Pe),한국투자신탁운용,재간접,2024/05/22,판매,가능,"1,821","1,803",0.87,1.12,594,597,0.00,,,,,,,,,,,,,,
슈로더이머징위너스증권자투자신탁(주식혼합-재간접형)종류C-Pe,슈로더투자신탁운용,재간접,2017/06/23,판매,가능,"1,443","1,802",17.76,17.49,"1,622","1,610",3.23,4.41,-7.70,-3.96,-3.05,,1.35,1.42,1.39,,,,,,
한화코리아레전드중소형주증권자투자신탁(주식)종류C-P(연금저축),한화자산운용,주식형,2016/03/21,판매,가능,987,"1,801",50.94,43.47,987,"1,180",-17.09,-10.60,-19.73,-4.40,-6.30,,1.85,1.82,1.69,,,,,,
베어링고배당증권투자회사(주식)ClassS-P,베어링자산운용,주식형,2015/06/29,판매,가능,848,"1,800",38.72,24.67,888,"1,362",-7.19,-3.49,-4.08,5.56,2.45,,1.50,1.42,1.30,,,,,,
유경PSG좋은생각자산배분형증권투자신탁(주식혼합형)ClassC-Pe,유경피에스지자산운용,혼합주식형,2016/08/05,판매,가능,771,"1,798",90.48,50.30,575,"1,010",-18.11,-6.78,-15.53,-3.46,-4.78,,1.61,1.51,1.40,,,,,,
트러스톤다이나믹코리아30연금저축증권자투자신탁[채권혼합]C클래스,트러스톤자산운용,혼합채권형,2013/04/26,판매,가능,778,"1,789",11.39,5.38,826,"1,747",1.84,1.10,-1.85,0.62,1.20,1.96,1.77,1.69,1.59,1.53,,,,,
미래에셋솔로몬중장기국공채증권자투자신탁 1(채권)종류C-Pe,미래에셋자산운용,채권형,2018/11/02,판매,가능,"1,688","1,787",4.41,3.44,"1,484","1,565",4.88,4.42,0.40,-0.67,-0.26,,0.30,0.31,0.27,,,,,,
마이다스아시아리더스성장주증권자투자신탁(H)(주식)C-P1,마이다스에셋자산운용,주식형,2020/06/25,판매,가능,"1,260","1,772",25.61,23.36,"1,493","1,715",26.16,30.48,-0.52,,,,1.70,,,,,,,,
미래에셋미국배당커버드콜액티브증권자투자신탁(주식)(H)종류C-P,미래에셋자산운용,주식형,2017/02/07,판매,가능,911,"1,768",0.00,9.83,"5,148","9,278",7.32,20.11,1.85,3.93,3.87,,2.00,1.91,1.83,,,,,,
교보악사Tomorrow장기우량증권투자신탁K- 1(채권)ClassS-P,교보악사자산운용,채권형,2015/10/27,판매,가능,"1,522","1,762",4.03,3.69,"1,765","1,955",5.51,5.51,2.68,1.87,2.47,,0.20,0.20,0.21,,,,,,
브이아이스마일연금증권전환형자투자신탁 1[국공채]C-P2,브이아이자산운용,채권형,2001/02/05,판매,가능,"1,565","1,757",4.12,3.96,"1,814","1,959",5.44,5.31,1.79,1.22,,,0.94,0.95,,,,,,,
KB연금재팬인덱스증권자투자신탁(주식-파생형)C-E 클래스,케이비자산운용,파생상품,2014/06/12,판매,가능,759,"1,757",30.57,17.79,"1,622","2,439",23.58,23.56,12.53,12.35,8.72,8.18,1.10,1.06,1.00,0.95,,,,,
미래에셋연금인사이트플러스증권자투자신탁 1(주식혼합)종류C-e,미래에셋자산운용,혼합주식형,2014/12/24,판매,가능,"1,574","1,749",13.86,14.57,"1,670","1,732",14.89,16.58,0.65,7.57,7.70,8.82,0.87,0.94,0.96,0.96,,,,,
한국투자TDF알아서2050증권자투자신탁UH(주식혼합-재간접형)(C-P),한국투자신탁운용,재간접,2019/10/16,판매,가능,"1,090","1,727",21.87,16.73,"1,085","1,612",28.30,24.26,7.93,10.83,,,1.46,1.42,,,,,,,
미래에셋코어밸류20증권자투자신탁 1(채권혼합)종류C-P,미래에셋자산운용,혼합채권형,2015/04/27,판매,가능,"1,385","1,724",8.27,8.11,"1,442","1,679",0.87,1.26,-0.03,2.17,1.50,1.82,1.23,1.22,1.19,1.11,,,,,
한화그린히어로증권자투자신탁(주식)C-P(연금저축),한화자산운용,주식형,2020/10/22,판매,가능,831,"1,723",54.30,47.40,"1,173","1,569",29.77,34.89,-4.17,,,,1.25,,,,,,,,
한국투자TDF알아서2020증권자투자신탁(채권혼합-재간접형)(C-Pe),한국투자신탁운용,재간접,2018/03/20,판매,가능,"1,492","1,721",7.33,6.89,"1,762","1,873",7.45,7.55,-0.13,2.26,,,0.49,0.51,,,,,,,
에셋플러스글로벌리치투게더40증권자투자신탁 1[채권혼합]종류C-Pe,에셋플러스자산운용,혼합채권형,2018/01/19,판매,가능,"1,396","1,720",10.56,9.92,"1,501","1,721",12.16,12.29,2.77,4.86,4.54,,0.96,0.97,0.93,,,,,,
한국투자글로벌AI&반도체TOP10증권자투자신탁UH(주식)(S-P),한국투자신탁운용,주식형,2023/05/30,판매,가능,"1,166","1,720",47.53,51.10,982,"1,222",46.52,57.66,,,,,,,,,,,,,
한국투자미국배당귀족증권자투자신탁H(주식)(C-P),한국투자신탁운용,주식형,2020/08/13,판매,가능,"1,562","1,715",-5.45,-4.34,"1,951","2,063",2.69,3.44,-1.33,,,,1.32,,,,,,,,
키움행복연금차이나인덱스증권전환형자투자신탁 1[주식-파생재간접형],키움투자자산운용,파생상품,2007/11/01,판매,가능,"1,448","1,701",24.19,27.63,"1,499","1,369",14.16,20.33,-12.15,-11.08,-10.29,-8.09,1.21,1.39,1.44,1.47,,,,,
유진챔피언중단기크레딧증권투자신탁(채권)ClassC-Pe,유진자산운용,채권형,2023/10/31,판매,가능,"1,660","1,701",3.62,3.78,543,554,3.36,3.96,,,,,,,,,,,,,
KB스타코스닥150인덱스증권자투자신탁(주식-파생형)C-P클래스,케이비자산운용,파생상품,2017/11/16,판매,가능,"1,579","1,700",8.89,9.47,"1,971","1,690",-21.34,-18.92,-15.86,-4.13,-8.12,,1.13,1.14,1.09,,,,,,
미래에셋아시아그로스증권자투자신탁(UH)(주식-재간접형)종류C-Pe,미래에셋자산운용,재간접,2018/07/04,판매,가능,841,"1,690",27.57,30.63,"1,040","1,777",28.82,32.25,-10.27,9.00,4.91,,1.06,1.09,,,,,,,
iM에셋월드광업주증권자투자신탁(주식-재간접형)(UH)(C-Pe),아이엠에셋자산운용,재간접,2017/09/04,판매,가능,809,"1,677",43.40,28.16,"1,009","1,414",-2.37,1.18,0.26,7.30,5.23,,1.08,1.03,0.98,,,,,,
미래에셋솔로몬장기국공채증권자투자신탁 1(채권)종류C-P,미래에셋자산운용,채권형,2016/06/27,판매,가능,"1,588","1,675",2.76,3.42,"1,894","1,954",5.20,5.12,2.96,1.46,2.57,,0.43,0.44,0.43,,,,,,
NH-Amundi글로벌하이브리드채권증권자투자신탁(UH)[채권혼합-재간접형]ClassC-P1e(연금저축),엔에이치아문디자산운용,재간접,2017/11/13,판매,가능,"1,455","1,674",19.12,20.94,661,725,20.10,28.08,8.02,6.13,4.33,,0.67,0.67,0.67,,,,,,
